Date,From,To,DeltaS
2020-10-28,COPPER,SOLVPN,0.04268877199859296
2020-10-28,VIX,DXY,0.039250230375293405
2020-10-28,COPPER,SILVER,0.026048632434959584
2020-10-28,VIX,GOLD,0.023275456426012885
2020-10-28,SILVER,GOLD,0.023000449086118868
2020-10-28,COPPER,GOLD,0.02208549831956698
2020-10-28,COPPER,DXY,0.015146026536124985
2020-10-28,GOLD,SILVER,0.012425478833127196
2020-10-28,SILVER,COPPER,0.01124190334755984
2020-10-28,DXY,SILVER,0.01080492339303167
2020-10-28,GOLD,DXY,0.00857065354418518
2020-10-28,UST10Y,SOLVPN,0.0061756545918836975
2020-10-28,SOLVPN,GOLD,0.005912984140110503
2020-10-28,SILVER,DXY,0.005491215005067329
2020-10-28,SOLVPN,COPPER,0.005146640756574183
2020-10-28,DXY,GOLD,0.005026384537128101
2020-10-28,DXY,COPPER,0.004723961510487429
2020-10-28,UST10Y,COPPER,0.004173740930783515
2020-10-28,GOLD,COPPER,0.003074832062276975
2020-10-28,UST10Y,GOLD,0.0024690984124313073
2020-10-28,UST10Y,VIX,0.0017307000924298233
2020-10-28,UST10Y,DXY,0.0017158446681958192
2020-10-28,SOLVPN,DXY,0.0014786030285000654
2020-10-28,UST10Y,SILVER,0.0006754689964240737
2020-10-28,COPPER,VIX,0.0005815770929739686
2020-10-28,VIX,COPPER,0.0004063250109440919
2020-11-04,UST10Y,SOLVPN,0.16021229555322045
2020-11-04,VIX,SOLVPN,0.14812073756198899
2020-11-04,SOLVPN,GOLD,0.1234025761594084
2020-11-04,DXY,SOLVPN,0.11046500398514131
2020-11-04,SOLVPN,UST10Y,0.09001297559491317
2020-11-04,SOLVPN,VIX,0.08922743518796968
2020-11-04,SOLVPN,DXY,0.08921688649397928
2020-11-04,DXY,GOLD,0.06352346259050083
2020-11-04,DXY,VIX,0.05307547518657363
2020-11-04,DXY,UST10Y,0.04713163465938526
2020-11-04,SOLVPN,COPPER,0.04599129003156921
2020-11-04,UST10Y,GOLD,0.03982441133175245
2020-11-04,VIX,SILVER,0.03628082989237731
2020-11-04,GOLD,UST10Y,0.03604306154981061
2020-11-04,UST10Y,VIX,0.034975821994260775
2020-11-04,SILVER,SOLVPN,0.03055235867158694
2020-11-04,GOLD,COPPER,0.026811978263717506
2020-11-04,DXY,SILVER,0.023380524819345466
2020-11-04,SILVER,COPPER,0.023066159657482516
2020-11-04,VIX,GOLD,0.022373353832113783
2020-11-04,COPPER,GOLD,0.022207993130017603
2020-11-04,SILVER,VIX,0.02219812553707652
2020-11-04,VIX,UST10Y,0.02216724464760121
2020-11-04,UST10Y,DXY,0.021335029084298567
2020-11-04,DXY,COPPER,0.019904521275849185
2020-11-04,GOLD,DXY,0.018647336434149217
2020-11-04,UST10Y,COPPER,0.018571519082461442
2020-11-04,GOLD,SOLVPN,0.017059892046877648
2020-11-04,SOLVPN,SILVER,0.014286184071498939
2020-11-04,SILVER,GOLD,0.013378535603167624
2020-11-04,COPPER,DXY,0.011685672784619225
2020-11-04,GOLD,VIX,0.011321926782915034
2020-11-04,COPPER,SOLVPN,0.010747152322252575
2020-11-04,COPPER,SILVER,0.009099837329529653
2020-11-04,UST10Y,SILVER,0.008865447877061818
2020-11-04,SILVER,DXY,0.007016238375257944
2020-11-04,VIX,DXY,0.005507113932169808
2020-11-04,VIX,COPPER,0.0050661676094058
2020-11-04,SILVER,UST10Y,0.0048762428036522
2020-11-04,COPPER,UST10Y,0.004632475187130024
2020-11-04,GOLD,SILVER,0.00047366222746489384
2020-11-04,COPPER,VIX,0.00032690025483517876
2020-11-09,DXY,SOLVPN,0.23978942098268163
2020-11-09,VIX,SOLVPN,0.23945294575027978
2020-11-09,SOLVPN,GOLD,0.23723291332110763
2020-11-09,SOLVPN,VIX,0.15859838795073095
2020-11-09,SOLVPN,UST10Y,0.15727639804073695
2020-11-09,VIX,GOLD,0.13595300955040668
2020-11-09,DXY,GOLD,0.13203584224940346
2020-11-09,GOLD,SOLVPN,0.13034945651230503
2020-11-09,SOLVPN,DXY,0.10221313152811948
2020-11-09,UST10Y,GOLD,0.10204783533560983
2020-11-09,DXY,VIX,0.10152492790877754
2020-11-09,DXY,UST10Y,0.09536295350162188
2020-11-09,UST10Y,SOLVPN,0.09304347261235157
2020-11-09,SILVER,SOLVPN,0.08870490270585663
2020-11-09,GOLD,DXY,0.08835329840505204
2020-11-09,UST10Y,VIX,0.08240607738421397
2020-11-09,VIX,UST10Y,0.07892735996557323
2020-11-09,GOLD,SILVER,0.06557645090074535
2020-11-09,GOLD,VIX,0.06181964036438302
2020-11-09,SILVER,DXY,0.0587174188271081
2020-11-09,VIX,DXY,0.05350824620861627
2020-11-09,SILVER,GOLD,0.04992429019282474
2020-11-09,UST10Y,DXY,0.04930103814467134
2020-11-09,SILVER,VIX,0.033599096945972275
2020-11-09,GOLD,COPPER,0.03137968791479827
2020-11-09,SILVER,UST10Y,0.0282725577034107
2020-11-09,COPPER,SOLVPN,0.0209200841551409
2020-11-09,SOLVPN,SILVER,0.02012102099152145
2020-11-09,SOLVPN,COPPER,0.01592643226442019
2020-11-09,COPPER,GOLD,0.015847156087817935
2020-11-09,COPPER,SILVER,0.0155619966166433
2020-11-09,COPPER,UST10Y,0.013858894979621908
2020-11-09,COPPER,DXY,0.012764340537944327
2020-11-09,SILVER,COPPER,0.011893449672745866
2020-11-09,UST10Y,COPPER,0.009545691979936134
2020-11-09,VIX,COPPER,0.009492642172360632
2020-11-09,DXY,SILVER,0.009341073476063153
2020-11-09,UST10Y,SILVER,0.0077187871682997365
2020-11-09,VIX,SILVER,0.006986158147895952
2020-11-09,GOLD,UST10Y,0.005490693230800731
2020-11-09,DXY,COPPER,0.002267311238641302
2020-11-09,COPPER,VIX,0.0009577326697641081
2020-11-10,DXY,SOLVPN,0.4459328498176379
2020-11-10,VIX,SOLVPN,0.3965500678759071
2020-11-10,SILVER,SOLVPN,0.2250506765728296
2020-11-10,SOLVPN,GOLD,0.17587130895043235
2020-11-10,COPPER,SOLVPN,0.15698837902937438
2020-11-10,SOLVPN,UST10Y,0.15505365744507416
2020-11-10,GOLD,SOLVPN,0.14316750926013586
2020-11-10,UST10Y,SOLVPN,0.13925361247871454
2020-11-10,DXY,GOLD,0.11415183521995481
2020-11-10,VIX,GOLD,0.09166106258811171
2020-11-10,DXY,UST10Y,0.08522488288003065
2020-11-10,SILVER,GOLD,0.08475311608687566
2020-11-10,SOLVPN,VIX,0.06284021331385417
2020-11-10,VIX,UST10Y,0.05822879174281356
2020-11-10,DXY,SILVER,0.045174494280864945
2020-11-10,GOLD,SILVER,0.043464220251332675
2020-11-10,DXY,COPPER,0.04271938423012266
2020-11-10,SOLVPN,SILVER,0.034813376592769125
2020-11-10,SILVER,UST10Y,0.032971575787112635
2020-11-10,COPPER,GOLD,0.030502305121697874
2020-11-10,DXY,VIX,0.029271982770600374
2020-11-10,VIX,COPPER,0.027459229768703533
2020-11-10,VIX,SILVER,0.024997145419098345
2020-11-10,SOLVPN,COPPER,0.02499225488910926
2020-11-10,VIX,DXY,0.024338415344329928
2020-11-10,GOLD,DXY,0.01970861349241601
2020-11-10,COPPER,UST10Y,0.018730231453830487
2020-11-10,SILVER,COPPER,0.014948077569624199
2020-11-10,COPPER,SILVER,0.014819205252890641
2020-11-10,COPPER,DXY,0.014341046911268071
2020-11-10,UST10Y,COPPER,0.013053055676305176
2020-11-10,UST10Y,SILVER,0.011397450471312763
2020-11-10,UST10Y,DXY,0.008756466487062936
2020-11-10,SOLVPN,DXY,0.008338738528848033
2020-11-10,SILVER,DXY,0.00681110863534326
2020-11-10,GOLD,VIX,0.006445698053614429
2020-11-10,SILVER,VIX,0.0064219790015596495
2020-11-10,GOLD,COPPER,0.0052246502605692025
2020-11-10,GOLD,UST10Y,0.0046350618132025845
2020-11-10,UST10Y,GOLD,0.00455664526053548
2020-11-10,UST10Y,VIX,0.004407680898231977
2020-11-10,COPPER,VIX,0.0022208938071927933
2020-11-11,VIX,SOLVPN,0.3642791260653964
2020-11-11,DXY,SOLVPN,0.3251172053400476
2020-11-11,UST10Y,SOLVPN,0.15384566221986437
2020-11-11,SILVER,SOLVPN,0.13004198120003382
2020-11-11,COPPER,SOLVPN,0.1063995484500055
2020-11-11,SOLVPN,GOLD,0.09521184034378304
2020-11-11,SOLVPN,VIX,0.08511006316058475
2020-11-11,DXY,SILVER,0.07622272184915013
2020-11-11,DXY,GOLD,0.07192080740772033
2020-11-11,VIX,UST10Y,0.06572572202355068
2020-11-11,GOLD,SOLVPN,0.06260518731928355
2020-11-11,VIX,SILVER,0.0587434320351907
2020-11-11,DXY,VIX,0.04791004894807725
2020-11-11,SILVER,GOLD,0.0441760768733267
2020-11-11,VIX,DXY,0.044129103109783525
2020-11-11,SOLVPN,DXY,0.0391809040027454
2020-11-11,DXY,COPPER,0.037405164004846704
2020-11-11,SOLVPN,SILVER,0.03409196644975169
2020-11-11,SILVER,VIX,0.03062490902133102
2020-11-11,VIX,COPPER,0.030594267295829106
2020-11-11,GOLD,SILVER,0.027136750346263117
2020-11-11,COPPER,DXY,0.020449700548824015
2020-11-11,SILVER,DXY,0.018490516189722583
2020-11-11,GOLD,DXY,0.018471039620881313
2020-11-11,VIX,GOLD,0.018251804664122268
2020-11-11,COPPER,GOLD,0.01705082301216352
2020-11-11,GOLD,VIX,0.016854419505610403
2020-11-11,SOLVPN,COPPER,0.015531710073315844
2020-11-11,COPPER,SILVER,0.014735229017305021
2020-11-11,UST10Y,GOLD,0.014498490755346247
2020-11-11,DXY,UST10Y,0.014359737970190217
2020-11-11,SILVER,COPPER,0.012776868190378599
2020-11-11,SOLVPN,UST10Y,0.009559796954704922
2020-11-11,UST10Y,DXY,0.008028538789956172
2020-11-11,SILVER,UST10Y,0.007881161362560039
2020-11-11,GOLD,COPPER,0.007773228401521674
2020-11-11,UST10Y,COPPER,0.006139509608465654
2020-11-11,UST10Y,VIX,0.005647656642202058
2020-11-11,COPPER,UST10Y,0.00433087456003927
2020-11-11,UST10Y,SILVER,0.0024213047716567307
2020-11-11,COPPER,VIX,0.0005481829831119125
2020-11-11,GOLD,UST10Y,0.0001080766157403601
2021-02-01,SOLVPN,SILVER,0.1624919059910055
2021-02-01,VIX,SILVER,0.14110843233937514
2021-02-01,SILVER,SOLVPN,0.10650918214650651
2021-02-01,SILVER,VIX,0.1048702221004134
2021-02-01,COPPER,SOLVPN,0.0917728655591864
2021-02-01,SILVER,DXY,0.083678294217363
2021-02-01,COPPER,DXY,0.07264964881398132
2021-02-01,UST10Y,SILVER,0.0652947643746622
2021-02-01,SILVER,COPPER,0.06406929454329394
2021-02-01,VIX,DXY,0.06214657665166608
2021-02-01,COPPER,VIX,0.05214504232790182
2021-02-01,DXY,SILVER,0.051367021637694174
2021-02-01,SOLVPN,VIX,0.05055594485899981
2021-02-01,COPPER,SILVER,0.04630845165110942
2021-02-01,VIX,SOLVPN,0.04008323216506551
2021-02-01,SILVER,GOLD,0.03899818181610078
2021-02-01,GOLD,VIX,0.029937880267057813
2021-02-01,COPPER,UST10Y,0.025998096280466204
2021-02-01,SOLVPN,DXY,0.024063757436833387
2021-02-01,UST10Y,VIX,0.02363942796087841
2021-02-01,SOLVPN,UST10Y,0.02336807226185303
2021-02-01,GOLD,SOLVPN,0.02201288197302352
2021-02-01,VIX,GOLD,0.018909771959460406
2021-02-01,GOLD,SILVER,0.018339910398579212
2021-02-01,DXY,COPPER,0.016969348753671037
2021-02-01,SOLVPN,GOLD,0.016076904587757963
2021-02-01,COPPER,GOLD,0.01578268337914996
2021-02-01,VIX,COPPER,0.014786001520142943
2021-02-01,UST10Y,SOLVPN,0.014593729136994582
2021-02-01,UST10Y,COPPER,0.013168376762027978
2021-02-01,GOLD,UST10Y,0.011089875801600951
2021-02-01,UST10Y,DXY,0.0108192692699755
2021-02-01,VIX,UST10Y,0.010016214102721785
2021-02-01,SILVER,UST10Y,0.008874230047538435
2021-02-01,SOLVPN,COPPER,0.0065648557886439085
2021-02-01,GOLD,DXY,0.004672392629732763
2021-02-01,DXY,GOLD,0.003134446157205373
2021-02-01,DXY,SOLVPN,0.0030021174967713865
2021-02-01,DXY,UST10Y,0.0021254147335239993
2021-02-01,DXY,VIX,0.0021162828269209316
2021-02-01,UST10Y,GOLD,0.00181227487403985
2021-02-01,GOLD,COPPER,0.0004985936401860173
2021-02-02,VIX,SILVER,0.18086815599989509
2021-02-02,VIX,SOLVPN,0.14190260924417042
2021-02-02,COPPER,SILVER,0.14042687988511798
2021-02-02,SILVER,GOLD,0.13594910762207252
2021-02-02,SOLVPN,SILVER,0.10477959647976508
2021-02-02,SILVER,VIX,0.09544399950659445
2021-02-02,VIX,COPPER,0.09020019293282439
2021-02-02,COPPER,SOLVPN,0.08991246518167577
2021-02-02,SOLVPN,GOLD,0.07198307502597731
2021-02-02,DXY,COPPER,0.06807833116258905
2021-02-02,GOLD,SILVER,0.06754284991336693
2021-02-02,UST10Y,SILVER,0.052753223385090864
2021-02-02,GOLD,SOLVPN,0.05152069017629428
2021-02-02,SOLVPN,VIX,0.040794431570429834
2021-02-02,SOLVPN,COPPER,0.037688699953370805
2021-02-02,SILVER,COPPER,0.03392554444354932
2021-02-02,DXY,GOLD,0.027553817339139763
2021-02-02,UST10Y,SOLVPN,0.025264099139027316
2021-02-02,GOLD,VIX,0.021679237367821232
2021-02-02,VIX,DXY,0.02045440160701322
2021-02-02,DXY,SOLVPN,0.020279401153105926
2021-02-02,GOLD,COPPER,0.019177013626003034
2021-02-02,COPPER,DXY,0.016540494253751994
2021-02-02,SOLVPN,UST10Y,0.01392927128623303
2021-02-02,GOLD,DXY,0.013451771266770211
2021-02-02,DXY,VIX,0.012222115526785995
2021-02-02,SILVER,SOLVPN,0.011659340650816724
2021-02-02,VIX,GOLD,0.01100557706583491
2021-02-02,GOLD,UST10Y,0.009597021703360659
2021-02-02,SILVER,UST10Y,0.009350967179601134
2021-02-02,DXY,SILVER,0.00865299333546378
2021-02-02,UST10Y,DXY,0.007599804836998743
2021-02-02,SILVER,DXY,0.0062310223218549
2021-02-02,COPPER,VIX,0.004094952610799993
2021-02-02,COPPER,UST10Y,0.0038823466432271886
2021-02-02,UST10Y,COPPER,0.002336589851933371
2021-02-02,COPPER,GOLD,0.001881272885400697
2021-02-02,UST10Y,VIX,0.0011603145534289996
2021-02-02,VIX,UST10Y,0.0009310691500915222
2021-02-02,DXY,UST10Y,0.0005946241047556453
2021-02-02,SOLVPN,DXY,0.00015189417030610046
2021-02-02,UST10Y,GOLD,7.040720627213976e-05
2021-06-17,COPPER,GOLD,0.1545515849627982
2021-06-17,COPPER,SOLVPN,0.13253854688009503
2021-06-17,UST10Y,DXY,0.1320639368876144
2021-06-17,DXY,UST10Y,0.12580993374605975
2021-06-17,GOLD,COPPER,0.12201458950848318
2021-06-17,GOLD,SOLVPN,0.11746316724436619
2021-06-17,SILVER,COPPER,0.10341511698913913
2021-06-17,COPPER,SILVER,0.0931718346099876
2021-06-17,DXY,GOLD,0.09120338379907518
2021-06-17,DXY,COPPER,0.07800576572044783
2021-06-17,GOLD,DXY,0.07545871343105492
2021-06-17,DXY,SILVER,0.07213487198437549
2021-06-17,UST10Y,COPPER,0.0639544619030517
2021-06-17,SILVER,SOLVPN,0.05911517078131567
2021-06-17,UST10Y,GOLD,0.05406542730582782
2021-06-17,DXY,SOLVPN,0.05093277569147056
2021-06-17,COPPER,DXY,0.045433244943185166
2021-06-17,SOLVPN,GOLD,0.03378564110678241
2021-06-17,COPPER,UST10Y,0.029915878511253498
2021-06-17,SOLVPN,SILVER,0.02841083995526645
2021-06-17,SOLVPN,DXY,0.028257060473040718
2021-06-17,SILVER,DXY,0.02493048037427445
2021-06-17,VIX,UST10Y,0.024589198196026285
2021-06-17,GOLD,SILVER,0.02447481112721156
2021-06-17,SILVER,UST10Y,0.023317090219614443
2021-06-17,GOLD,UST10Y,0.02028100357409658
2021-06-17,VIX,DXY,0.01671186456599827
2021-06-17,VIX,COPPER,0.014439232713086898
2021-06-17,COPPER,VIX,0.014157427613806908
2021-06-17,UST10Y,SILVER,0.013996970725201917
2021-06-17,SOLVPN,UST10Y,0.010407834765496685
2021-06-17,SILVER,VIX,0.01026182456274114
2021-06-17,VIX,SILVER,0.009515072531967938
2021-06-17,SILVER,GOLD,0.009050556409722077
2021-06-17,SOLVPN,VIX,0.00893348193184429
2021-06-17,VIX,GOLD,0.008905655425512415
2021-06-17,GOLD,VIX,0.007902051191265289
2021-06-17,DXY,VIX,0.0070580449956008096
2021-06-17,UST10Y,VIX,0.005927128091734651
2021-06-17,VIX,SOLVPN,0.004107733398365204
2021-06-17,UST10Y,SOLVPN,0.0010990445196711746
2021-06-17,SOLVPN,COPPER,0.0010725542301948075
2022-03-01,GOLD,COPPER,0.12620592188259164
2022-03-01,COPPER,SILVER,0.10751409836514089
2022-03-01,SILVER,COPPER,0.10605554091482478
2022-03-01,COPPER,VIX,0.09292099030284878
2022-03-01,SOLVPN,SILVER,0.06832164287617598
2022-03-01,SOLVPN,GOLD,0.06571199721655212
2022-03-01,SOLVPN,COPPER,0.0636051428329305
2022-03-01,UST10Y,VIX,0.06207437240631922
2022-03-01,GOLD,SOLVPN,0.05884264996285081
2022-03-01,SOLVPN,VIX,0.05859524619802704
2022-03-01,UST10Y,GOLD,0.05854963778093321
2022-03-01,SILVER,SOLVPN,0.056985518144490724
2022-03-01,COPPER,UST10Y,0.053292325320033904
2022-03-01,UST10Y,SILVER,0.05309580982538796
2022-03-01,VIX,UST10Y,0.05015519886054218
2022-03-01,SOLVPN,DXY,0.04751203186152807
2022-03-01,COPPER,GOLD,0.047374355498070356
2022-03-01,VIX,SILVER,0.04619271787175973
2022-03-01,DXY,SILVER,0.043200382948897435
2022-03-01,COPPER,DXY,0.0431891376516328
2022-03-01,DXY,COPPER,0.04008642094428305
2022-03-01,VIX,SOLVPN,0.03516337448790416
2022-03-01,GOLD,DXY,0.03413110005396111
2022-03-01,SILVER,DXY,0.031442623962960436
2022-03-01,VIX,GOLD,0.0313677070342834
2022-03-01,DXY,VIX,0.029959090676513395
2022-03-01,VIX,DXY,0.02917782263298633
2022-03-01,DXY,UST10Y,0.02883462564299119
2022-03-01,UST10Y,COPPER,0.02826981539034381
2022-03-01,SILVER,GOLD,0.026920815961332972
2022-03-01,VIX,COPPER,0.023806021727548754
2022-03-01,DXY,GOLD,0.019857007514257702
2022-03-01,DXY,SOLVPN,0.017398858071846296
2022-03-01,GOLD,SILVER,0.016905878142596586
2022-03-01,SILVER,VIX,0.010966842969032258
2022-03-01,GOLD,VIX,0.009439982724696299
2022-03-01,SILVER,UST10Y,0.009143001990739235
2022-03-01,COPPER,SOLVPN,0.006514076954057875
2022-03-01,UST10Y,DXY,0.005078346199403616
2022-03-01,SOLVPN,UST10Y,0.003732204861779647
2022-03-01,GOLD,UST10Y,0.0036775129516651087
2022-03-01,UST10Y,SOLVPN,0.0029868666710254725
2022-03-02,SOLVPN,COPPER,0.312901534613845
2022-03-02,SOLVPN,VIX,0.20023297711689733
2022-03-02,SOLVPN,SILVER,0.18966522904957395
2022-03-02,GOLD,COPPER,0.16310763537225775
2022-03-02,SOLVPN,GOLD,0.11417848414154336
2022-03-02,GOLD,VIX,0.09599140656528611
2022-03-02,VIX,SOLVPN,0.09373505574101432
2022-03-02,SOLVPN,UST10Y,0.09124348992528869
2022-03-02,VIX,SILVER,0.08232085218822824
2022-03-02,GOLD,SOLVPN,0.08166931829211951
2022-03-02,SILVER,COPPER,0.07778734730322648
2022-03-02,GOLD,SILVER,0.07340280120576345
2022-03-02,SOLVPN,DXY,0.07224332187541305
2022-03-02,UST10Y,SOLVPN,0.06562946675454318
2022-03-02,UST10Y,VIX,0.06366166465348314
2022-03-02,DXY,COPPER,0.063372853597933
2022-03-02,DXY,SILVER,0.06113533601819527
2022-03-02,VIX,COPPER,0.05786863806261741
2022-03-02,DXY,SOLVPN,0.05679264827730737
2022-03-02,GOLD,UST10Y,0.05571179826646928
2022-03-02,DXY,VIX,0.05192412254292317
2022-03-02,SILVER,VIX,0.048277038261712826
2022-03-02,VIX,GOLD,0.04807010401898654
2022-03-02,DXY,GOLD,0.04146733588423045
2022-03-02,SILVER,SOLVPN,0.03997081942467928
2022-03-02,COPPER,VIX,0.03772878803724207
2022-03-02,COPPER,UST10Y,0.032533486713757206
2022-03-02,GOLD,DXY,0.029922490854011927
2022-03-02,COPPER,SOLVPN,0.029531757745235164
2022-03-02,SILVER,UST10Y,0.026016391922208653
2022-03-02,COPPER,SILVER,0.024535024273432654
2022-03-02,UST10Y,DXY,0.02236961365074426
2022-03-02,SILVER,GOLD,0.0208789366686995
2022-03-02,UST10Y,COPPER,0.018924107421350977
2022-03-02,VIX,DXY,0.017435529555222047
2022-03-02,UST10Y,GOLD,0.014722737692983365
2022-03-02,SILVER,DXY,0.013735893691199
2022-03-02,UST10Y,SILVER,0.010249099056360095
2022-03-02,DXY,UST10Y,0.009211196798825858
2022-03-02,COPPER,DXY,0.007522883859777547
2022-03-02,COPPER,GOLD,0.004071052220868898
2022-03-02,VIX,UST10Y,0.004013429672993729
2022-03-07,COPPER,SILVER,0.13072347952858496
2022-03-07,SOLVPN,COPPER,0.1302477476770463
2022-03-07,COPPER,GOLD,0.11525284338651456
2022-03-07,SILVER,COPPER,0.10438819983666646
2022-03-07,COPPER,SOLVPN,0.09675516197269907
2022-03-07,VIX,COPPER,0.07926114591147293
2022-03-07,GOLD,COPPER,0.07131197738992537
2022-03-07,COPPER,VIX,0.0700866818955325
2022-03-07,GOLD,VIX,0.06877121434851236
2022-03-07,SILVER,VIX,0.04227402715665225
2022-03-07,SOLVPN,VIX,0.03885110979308215
2022-03-07,SOLVPN,DXY,0.03830393167333231
2022-03-07,UST10Y,SOLVPN,0.03284833588164785
2022-03-07,DXY,GOLD,0.0309436953382216
2022-03-07,DXY,SOLVPN,0.028744414215512798
2022-03-07,SILVER,GOLD,0.02658816131461378
2022-03-07,DXY,COPPER,0.025172506517125347
2022-03-07,VIX,GOLD,0.02492057466841776
2022-03-07,COPPER,UST10Y,0.02373239020732859
2022-03-07,DXY,SILVER,0.022982157278298474
2022-03-07,VIX,UST10Y,0.022928362330942115
2022-03-07,UST10Y,SILVER,0.022718470236125887
2022-03-07,SOLVPN,UST10Y,0.02034321427797022
2022-03-07,VIX,DXY,0.01895427376072121
2022-03-07,GOLD,SOLVPN,0.018842548924839275
2022-03-07,DXY,UST10Y,0.013979549107704013
2022-03-07,SOLVPN,GOLD,0.013843167710236887
2022-03-07,UST10Y,VIX,0.01212577279165386
2022-03-07,UST10Y,COPPER,0.011931553657214142
2022-03-07,SOLVPN,SILVER,0.011759615097494572
2022-03-07,GOLD,SILVER,0.0095700825368433
2022-03-07,SILVER,DXY,0.009512178725318423
2022-03-07,UST10Y,GOLD,0.008777306759564785
2022-03-07,UST10Y,DXY,0.00839874010714911
2022-03-07,VIX,SILVER,0.006357399354329281
2022-03-07,GOLD,DXY,0.004782856144404497
2022-03-07,GOLD,UST10Y,0.0037242614776131847
2022-03-07,DXY,VIX,0.001863456045245876
2022-03-07,COPPER,DXY,0.001713576305285073
2022-03-07,VIX,SOLVPN,0.0012579874207628017
2022-03-07,SILVER,SOLVPN,0.0009617350338715358
2022-03-07,SILVER,UST10Y,0.0007068421891399113
2022-06-13,UST10Y,SOLVPN,0.15180822649970713
2022-06-13,SOLVPN,DXY,0.11451298416059583
2022-06-13,VIX,SILVER,0.1109745090534166
2022-06-13,SOLVPN,SILVER,0.10140131831299064
2022-06-13,DXY,SILVER,0.08804318077097995
2022-06-13,UST10Y,DXY,0.08256453446232202
2022-06-13,SOLVPN,VIX,0.08160570898049471
2022-06-13,DXY,SOLVPN,0.07962691171096507
2022-06-13,VIX,COPPER,0.07277372922786907
2022-06-13,UST10Y,VIX,0.06202204508642766
2022-06-13,UST10Y,SILVER,0.05517336647325069
2022-06-13,COPPER,SILVER,0.04778726945546102
2022-06-13,SOLVPN,COPPER,0.04677066193774117
2022-06-13,SILVER,SOLVPN,0.045495878825833336
2022-06-13,SOLVPN,GOLD,0.04389494534833391
2022-06-13,UST10Y,COPPER,0.04208899514237115
2022-06-13,SILVER,GOLD,0.041689050935333705
2022-06-13,VIX,GOLD,0.04127439404025071
2022-06-13,VIX,DXY,0.04030579755316675
2022-06-13,SILVER,DXY,0.03803372647671694
2022-06-13,GOLD,UST10Y,0.036986327465399496
2022-06-13,COPPER,DXY,0.026107733646037537
2022-06-13,DXY,COPPER,0.019245265387360377
2022-06-13,DXY,GOLD,0.018039395435477813
2022-06-13,SILVER,VIX,0.016574324820277406
