Date,Magnitude,Top1_From,Top1_To,Top1_DeltaS,Top2_From,Top2_To,Top2_DeltaS,Top3_From,Top3_To,Top3_DeltaS
2022-09-13,1.8388763211553063,SOLVPN,SILVER,0.13435930183243777,GOLD,SILVER,0.1326591267540141,COPPER,SILVER,0.11524274868544374
2022-11-10,1.5326092762232646,COPPER,SOLVPN,0.16571594938320217,SOLVPN,DXY,0.10286667825920452,UST10Y,SOLVPN,0.09976403103583291
2022-11-14,1.7387038538360038,SOLVPN,UST10Y,0.08306189477775555,SOLVPN,VIX,0.08240519981585803,COPPER,SOLVPN,0.07607985881282833
2022-11-17,1.6776962550163554,COPPER,SOLVPN,0.263122120668646,UST10Y,SOLVPN,0.1575099362755558,DXY,SOLVPN,0.1550920553855497
2022-12-15,1.6357617519257166,COPPER,SOLVPN,0.26016809287648535,SILVER,SOLVPN,0.16513477238319985,GOLD,SOLVPN,0.1488121595164473
2022-12-20,1.8804423567765927,COPPER,SOLVPN,0.2298467117824159,GOLD,SOLVPN,0.20380035253347256,SILVER,SOLVPN,0.17111523960526606
2023-01-03,1.4849943735885918,COPPER,DXY,0.12847310393662556,UST10Y,SOLVPN,0.09309045987000958,UST10Y,GOLD,0.0751893425216331
2023-05-11,1.5331712696897026,SILVER,COPPER,0.18502706057859122,COPPER,SILVER,0.11718664345681572,SILVER,GOLD,0.10349446657186404
2023-10-02,1.9999223003802344,SOLVPN,COPPER,0.18805272946315957,SOLVPN,VIX,0.17764029492025113,SOLVPN,SILVER,0.11514917295129937
2023-10-03,1.560101588851671,SOLVPN,UST10Y,0.13905149360731905,SOLVPN,SILVER,0.12540215479491998,SOLVPN,COPPER,0.11826651567853894
2023-10-16,1.4928313749145314,SOLVPN,GOLD,0.16645069199974422,VIX,UST10Y,0.1047300375320592,VIX,GOLD,0.09083260747065128
2023-10-17,1.6584256678493874,SOLVPN,DXY,0.18369292876940754,SOLVPN,UST10Y,0.16488531656171218,SOLVPN,GOLD,0.14475500262064345
2024-02-15,1.9970310857880025,SOLVPN,COPPER,0.24135287387350646,DXY,COPPER,0.17351926006489338,SOLVPN,UST10Y,0.13796288507844034
2024-04-10,1.5383171426595226,DXY,SOLVPN,0.28672925302148206,UST10Y,SOLVPN,0.22702271048664524,VIX,SOLVPN,0.14529218426117685
2024-04-30,1.5512542622136263,GOLD,SOLVPN,0.1245647599708004,SILVER,SOLVPN,0.0974306246471094,COPPER,SOLVPN,0.08372211159507328
2024-08-05,2.3512050576100947,GOLD,VIX,0.25732860369371574,SILVER,VIX,0.256513993107169,COPPER,VIX,0.21206467082241443
2024-08-06,2.02532237106828,SILVER,VIX,0.1720049339719378,COPPER,VIX,0.13715733998131943,GOLD,VIX,0.12147780856552653
2024-11-06,2.0281088874671847,SOLVPN,COPPER,0.09022927270822886,SOLVPN,VIX,0.0899151015931346,VIX,UST10Y,0.08941445284829472
2024-11-07,2.082820966712259,SOLVPN,COPPER,0.1136996147899497,GOLD,SILVER,0.11201953482636677,COPPER,GOLD,0.10043466257931799
2024-12-18,2.227944252296012,SOLVPN,VIX,0.29736458808130894,GOLD,VIX,0.2634677930050816,GOLD,SILVER,0.19082355074186
2024-12-19,1.819830200261462,GOLD,VIX,0.2740589312799182,SOLVPN,VIX,0.12873583468764327,UST10Y,SOLVPN,0.12349585884430835
2025-01-13,1.631532434468171,SILVER,SOLVPN,0.21689733544862244,GOLD,SOLVPN,0.20187162597327246,SILVER,VIX,0.18119899799560155
2025-02-03,1.550285049901912,SOLVPN,GOLD,0.17461177074472858,SOLVPN,SILVER,0.1392988833174903,SOLVPN,COPPER,0.08204065484484593
2025-04-03,2.268956414103629,SOLVPN,SILVER,0.1739230507775401,COPPER,SILVER,0.16596363123218952,VIX,SILVER,0.15478070610031952
2025-04-07,2.3155549429002233,DXY,SOLVPN,0.15105630905624662,GOLD,SOLVPN,0.12869661304531552,SILVER,SOLVPN,0.12780893143642952
2025-04-08,1.8161503712587932,DXY,SOLVPN,0.1352919972636185,VIX,GOLD,0.12356107734869137,SILVER,VIX,0.09055425566801949
2025-04-09,1.9079364719158023,VIX,SOLVPN,0.15704128800645514,SOLVPN,VIX,0.14853016088020607,VIX,DXY,0.13349677432672785
2025-04-10,2.3077763647992713,UST10Y,VIX,0.23842174270569888,SOLVPN,VIX,0.21604143242570428,DXY,VIX,0.14833361077268004
2025-07-08,2.6226640301584108,COPPER,SOLVPN,0.32392410569204805,GOLD,SOLVPN,0.28914108004718125,UST10Y,SOLVPN,0.21788555323340894
2025-07-09,2.0348951629841747,SOLVPN,COPPER,0.1769198218561031,GOLD,SOLVPN,0.16593373574759043,GOLD,COPPER,0.15035366609904618
2025-07-31,2.8407847779301725,GOLD,COPPER,0.41362823165408563,COPPER,SOLVPN,0.40846185109610667,VIX,COPPER,0.35791708112559745
2025-08-04,2.0886017688119667,VIX,COPPER,0.3128187417862689,GOLD,COPPER,0.1729242276931025,SOLVPN,COPPER,0.13396998805775073
2025-09-02,1.4298339323969202,GOLD,COPPER,0.36087118045653777,SILVER,COPPER,0.28135276070148363,VIX,COPPER,0.0788976218120418
2025-11-13,1.586987412708092,SOLVPN,VIX,0.2106920423822336,UST10Y,VIX,0.15589120186250144,UST10Y,SOLVPN,0.1275313780909883
2025-11-17,1.8905487502374385,SOLVPN,GOLD,0.1431531087356607,UST10Y,SOLVPN,0.1266435029296898,SOLVPN,VIX,0.1213033111468386
2025-11-18,1.9789794378139207,SOLVPN,GOLD,0.26774106953055415,UST10Y,GOLD,0.16701296334570942,SOLVPN,DXY,0.12736833285174576
2025-11-24,1.4520681793532206,SOLVPN,COPPER,0.14004345657766182,SOLVPN,SILVER,0.13546977280559275,DXY,SOLVPN,0.11339835673622496
2025-12-29,1.5394538426361677,GOLD,COPPER,0.26789680599255444,SILVER,COPPER,0.2594694315997484,GOLD,SILVER,0.11009671225838527
